ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,acire,andy,arti,azu,barrel,bebr,bitto,cako,chaeix,chaos,collen,dank,dans,dem,deo,dire,dis,dowolf,drj133,eggert,ema,fiop,fl81,gall,golden,haste,hb,hbj,horita,hotdog,hunt,isquen,janus,jona,jungle,junk,kama,kcf,kecleon,kotetsu,lefty,lem,lies,mac,max,mega,mihark,mist,moonr,neko,nfun,orange,p0,para,place,plas,pony,prince,prod,prody,pyre,rev,rwlh,sceptile,sergio,shark,skull,sly,snake,sniff,suprak,taffer,tazzy,tgs,tked,tre,tsunami,tunnel,turus,uf8,w1ndzs,wave,xx521,zel
11,Declaration! Imperial Floral Assault Group,b10,28,35,63,7,b10,,b10,b10,Declaration! Imperial Floral Assault Group,Declaration! Imperial Floral Assault Group,,b10,b10,,,Declaration! Imperial Floral Assault Group,Declaration! Imperial Floral Assault Group,b10,b10,Declaration! Imperial Floral Assault Group,Declaration! Imperial Floral Assault Group,b10,b10,Declaration! Imperial Floral Assault Group,b10,Declaration! Imperial Floral Assault Group,b10,,Declaration! Imperial Floral Assault Group,b10,,b10,Declaration! Imperial Floral Assault Group,b10,b10,Declaration! Imperial Floral Assault Group,Declaration! Imperial Floral Assault Group,b10,b10,b10,b10,,Declaration! Imperial Floral Assault Group,b10,b10,,Declaration! Imperial Floral Assault Group,b10,,b10,b10,Declaration! Imperial Floral Assault Group,Declaration! Imperial Floral Assault Group,,,Declaration! Imperial Floral Assault Group,b10,,b10,b10,,,Declaration! Imperial Floral Assault Group,Declaration! Imperial Floral Assault Group,Declaration! Imperial Floral Assault Group,,Declaration! Imperial Floral Assault Group,,Declaration! Imperial Floral Assault Group,b10,b10,,b10,Declaration! Imperial Floral Assault Group,,,,b10,b10,b10,b10,Declaration! Imperial Floral Assault Group,,b10,b10,,Declaration! Imperial Floral Assault Group,Declaration! Imperial Floral Assault Group,Declaration! Imperial Floral Assault Group,Declaration! Imperial Floral Assault Group
12,Memories of Memories,Somnia Memorias,26,37,63,11,Somnia Memorias,,Memories of Memories,Memories of Memories,Somnia Memorias,Somnia Memorias,,,Somnia Memorias,,,Memories of Memories,Somnia Memorias,Memories of Memories,Memories of Memories,Somnia Memorias,Somnia Memorias,Memories of Memories,Memories of Memories,Somnia Memorias,Somnia Memorias,Memories of Memories,Somnia Memorias,,Somnia Memorias,Memories of Memories,,Somnia Memorias,Somnia Memorias,Memories of Memories,Somnia Memorias,Somnia Memorias,Memories of Memories,Memories of Memories,Somnia Memorias,Memories of Memories,Somnia Memorias,,Somnia Memorias,Memories of Memories,Memories of Memories,,Memories of Memories,Somnia Memorias,,Memories of Memories,Memories of Memories,Somnia Memorias,Somnia Memorias,,,Somnia Memorias,Somnia Memorias,,Memories of Memories,Memories of Memories,,,Memories of Memories,Somnia Memorias,Somnia Memorias,,Somnia Memorias,,Somnia Memorias,Somnia Memorias,Somnia Memorias,,Memories of Memories,Somnia Memorias,,,,Somnia Memorias,Memories of Memories,Somnia Memorias,Memories of Memories,Somnia Memorias,,Somnia Memorias,Somnia Memorias,Somnia Memorias,Memories of Memories,Memories of Memories,Somnia Memorias,Somnia Memorias
13,Tower of Memories,Softbank,22,41,63,19,Softbank,,Softbank,Softbank,Softbank,Softbank,,Softbank,Tower of Memories,,,Softbank,Softbank,Softbank,Softbank,Tower of Memories,Softbank,Softbank,Softbank,Tower of Memories,Softbank,Softbank,Softbank,,Softbank,Softbank,,Softbank,Softbank,Softbank,Tower of Memories,Softbank,Softbank,Softbank,Softbank,Softbank,Softbank,,Tower of Memories,Softbank,Softbank,,Softbank,Softbank,,Tower of Memories,Tower of Memories,Softbank,Softbank,,,Tower of Memories,Softbank,,Tower of Memories,Tower of Memories,,,Softbank,Tower of Memories,Softbank,,Softbank,,Tower of Memories,Tower of Memories,Tower of Memories,,Softbank,Softbank,,,,,Tower of Memories,Tower of Memories,Softbank,Tower of Memories,,Tower of Memories,Tower of Memories,Tower of Memories,Tower of Memories,Softbank,Softbank,Tower of Memories
14,Burger King Futo Lettuce (Futo's Theme),"Burning, Churning Power Plant",30,29,59,1,Burger King Futo Lettuce (Futo's Theme),,Burger King Futo Lettuce (Futo's Theme),Burger King Futo Lettuce (Futo's Theme),"Burning, Churning Power Plant",Burger King Futo Lettuce (Futo's Theme),,"Burning, Churning Power Plant","Burning, Churning Power Plant",,,"Burning, Churning Power Plant",Burger King Futo Lettuce (Futo's Theme),"Burning, Churning Power Plant","Burning, Churning Power Plant",,Burger King Futo Lettuce (Futo's Theme),Burger King Futo Lettuce (Futo's Theme),Burger King Futo Lettuce (Futo's Theme),"Burning, Churning Power Plant",Burger King Futo Lettuce (Futo's Theme),Burger King Futo Lettuce (Futo's Theme),Burger King Futo Lettuce (Futo's Theme),,Burger King Futo Lettuce (Futo's Theme),Burger King Futo Lettuce (Futo's Theme),,"Burning, Churning Power Plant",Burger King Futo Lettuce (Futo's Theme),"Burning, Churning Power Plant","Burning, Churning Power Plant",Burger King Futo Lettuce (Futo's Theme),"Burning, Churning Power Plant",Burger King Futo Lettuce (Futo's Theme),"Burning, Churning Power Plant","Burning, Churning Power Plant","Burning, Churning Power Plant",,"Burning, Churning Power Plant",Burger King Futo Lettuce (Futo's Theme),Burger King Futo Lettuce (Futo's Theme),,"Burning, Churning Power Plant",Burger King Futo Lettuce (Futo's Theme),,"Burning, Churning Power Plant",Burger King Futo Lettuce (Futo's Theme),Burger King Futo Lettuce (Futo's Theme),"Burning, Churning Power Plant",,,"Burning, Churning Power Plant",,Burger King Futo Lettuce (Futo's Theme),"Burning, Churning Power Plant","Burning, Churning Power Plant",,,Burger King Futo Lettuce (Futo's Theme),Burger King Futo Lettuce (Futo's Theme),Burger King Futo Lettuce (Futo's Theme),,,Burger King Futo Lettuce (Futo's Theme),,"Burning, Churning Power Plant","Burning, Churning Power Plant",,"Burning, Churning Power Plant","Burning, Churning Power Plant",,,,,"Burning, Churning Power Plant","Burning, Churning Power Plant",Burger King Futo Lettuce (Futo's Theme),"Burning, Churning Power Plant",,"Burning, Churning Power Plant",Burger King Futo Lettuce (Futo's Theme),,Burger King Futo Lettuce (Futo's Theme),Burger King Futo Lettuce (Futo's Theme),Burger King Futo Lettuce (Futo's Theme),
15,Memories Returned,Love Psalm,22,41,63,19,Love Psalm,,Love Psalm,Love Psalm,Love Psalm,Love Psalm,,Memories Returned,Love Psalm,,,Love Psalm,Love Psalm,Love Psalm,Memories Returned,,Memories Returned,Memories Returned,Love Psalm,Memories Returned,Love Psalm,Memories Returned,Love Psalm,,Memories Returned,Love Psalm,,Memories Returned,Memories Returned,Love Psalm,Memories Returned,Love Psalm,Memories Returned,Love Psalm,Love Psalm,Love Psalm,Love Psalm,,Love Psalm,Love Psalm,Memories Returned,,Love Psalm,Love Psalm,,Love Psalm,Love Psalm,Memories Returned,Love Psalm,,,Love Psalm,Memories Returned,Memories Returned,Love Psalm,Love Psalm,,,Memories Returned,Love Psalm,Love Psalm,,Love Psalm,Love Psalm,Love Psalm,Love Psalm,Memories Returned,,Love Psalm,Memories Returned,,,,Love Psalm,Love Psalm,Memories Returned,Love Psalm,Memories Returned,,Love Psalm,Love Psalm,Memories Returned,Memories Returned,,Love Psalm,
16,LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),29,33,62,4,We Are The Lights (Phase 3-4),,We Are The Lights (Phase 3-4),We Are The Lights (Phase 3-4),We Are The Lights (Phase 3-4),We Are The Lights (Phase 3-4),,,We Are The Lights (Phase 3-4),,,LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),LIGHTNING BUG/MOO,LIGHTNING BUG/MOO,,LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),We Are The Lights (Phase 3-4),LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),,LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),,LIGHTNING BUG/MOO,LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),LIGHTNING BUG/MOO,LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),LIGHTNING BUG/MOO,LIGHTNING BUG/MOO,,LIGHTNING BUG/MOO,LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),,We Are The Lights (Phase 3-4),We Are The Lights (Phase 3-4),,We Are The Lights (Phase 3-4),We Are The Lights (Phase 3-4),LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),,,We Are The Lights (Phase 3-4),LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),We Are The Lights (Phase 3-4),LIGHTNING BUG/MOO,,,LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),LIGHTNING BUG/MOO,,LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),,We Are The Lights (Phase 3-4),LIGHTNING BUG/MOO,,LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),,,,LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),We Are The Lights (Phase 3-4),LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),,LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),LIGHTNING BUG/MOO,We Are The Lights (Phase 3-4),
17,Aurora's Theme,Aurora,33,30,63,3,Aurora's Theme,,Aurora's Theme,Aurora's Theme,Aurora's Theme,Aurora's Theme,,,,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,,Aurora,Aurora's Theme,Aurora,Aurora,Aurora,Aurora's Theme,Aurora,,Aurora's Theme,Aurora,,Aurora,Aurora's Theme,Aurora's Theme,Aurora,Aurora,Aurora's Theme,Aurora,Aurora's Theme,Aurora,,,Aurora,Aurora,Aurora's Theme,,Aurora,Aurora's Theme,,Aurora's Theme,Aurora's Theme,Aurora's Theme,Aurora's Theme,,,Aurora's Theme,Aurora,Aurora's Theme,Aurora's Theme,Aurora's Theme,,,Aurora,Aurora's Theme,Aurora,,Aurora's Theme,,Aurora's Theme,Aurora's Theme,Aurora,,Aurora,Aurora's Theme,,,,Aurora,Aurora's Theme,Aurora's Theme,Aurora,Aurora's Theme,,Aurora,Aurora's Theme,Aurora,Aurora's Theme,Aurora's Theme,Aurora's Theme,Aurora
18,Speed of Light,Zero Gravity Area,27,36,63,9,Zero Gravity Area,,Speed of Light,Zero Gravity Area,Speed of Light,Speed of Light,,,,Speed of Light,Zero Gravity Area,Speed of Light,Speed of Light,Zero Gravity Area,Zero Gravity Area,,Zero Gravity Area,Zero Gravity Area,Speed of Light,Speed of Light,Speed of Light,Speed of Light,Zero Gravity Area,,Zero Gravity Area,Zero Gravity Area,,Zero Gravity Area,Zero Gravity Area,Zero Gravity Area,Zero Gravity Area,Zero Gravity Area,Zero Gravity Area,Zero Gravity Area,Zero Gravity Area,Speed of Light,,,Zero Gravity Area,Speed of Light,Speed of Light,,Zero Gravity Area,Speed of Light,,Zero Gravity Area,Speed of Light,Zero Gravity Area,Zero Gravity Area,,,Zero Gravity Area,Zero Gravity Area,Speed of Light,Speed of Light,Zero Gravity Area,,,Speed of Light,Zero Gravity Area,Speed of Light,Zero Gravity Area,Speed of Light,,Zero Gravity Area,Speed of Light,Speed of Light,,Zero Gravity Area,Speed of Light,,,,,Zero Gravity Area,Speed of Light,Zero Gravity Area,Speed of Light,,Zero Gravity Area,Zero Gravity Area,Zero Gravity Area,Speed of Light,Zero Gravity Area,Speed of Light,Zero Gravity Area
19,Redeem the Future,"Stage 3 - Voile, the Magic Library",24,37,61,13,"Stage 3 - Voile, the Magic Library",,"Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library",Redeem the Future,"Stage 3 - Voile, the Magic Library",,,,"Stage 3 - Voile, the Magic Library",Redeem the Future,Redeem the Future,"Stage 3 - Voile, the Magic Library",Redeem the Future,Redeem the Future,,"Stage 3 - Voile, the Magic Library",Redeem the Future,"Stage 3 - Voile, the Magic Library",Redeem the Future,Redeem the Future,Redeem the Future,"Stage 3 - Voile, the Magic Library",,"Stage 3 - Voile, the Magic Library",Redeem the Future,,"Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library",,,Redeem the Future,"Stage 3 - Voile, the Magic Library",Redeem the Future,,Redeem the Future,Redeem the Future,,Redeem the Future,,"Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library",,,"Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library",Redeem the Future,"Stage 3 - Voile, the Magic Library",,,"Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library",Redeem the Future,,"Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library",,"Stage 3 - Voile, the Magic Library",Redeem the Future,,,,,,Redeem the Future,"Stage 3 - Voile, the Magic Library",Redeem the Future,,"Stage 3 - Voile, the Magic Library",Redeem the Future,Redeem the Future,Redeem the Future,Redeem the Future,"Stage 3 - Voile, the Magic Library","Stage 3 - Voile, the Magic Library"
20,Alternative Root,Nocturnal 2097 (Long Version),27,36,63,9,Nocturnal 2097 (Long Version),,Nocturnal 2097 (Long Version),Alternative Root,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),,Nocturnal 2097 (Long Version),Alternative Root,Alternative Root,Alternative Root,Alternative Root,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Alternative Root,Alternative Root,Nocturnal 2097 (Long Version),Alternative Root,Nocturnal 2097 (Long Version),,Alternative Root,Nocturnal 2097 (Long Version),,Alternative Root,Alternative Root,Nocturnal 2097 (Long Version),Alternative Root,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Alternative Root,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),,,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),,,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),,,Alternative Root,Nocturnal 2097 (Long Version),,Alternative Root,Nocturnal 2097 (Long Version),,Nocturnal 2097 (Long Version),Alternative Root,Alternative Root,Nocturnal 2097 (Long Version),,Alternative Root,,Alternative Root,Alternative Root,Alternative Root,,Alternative Root,Nocturnal 2097 (Long Version),,,,Alternative Root,,Alternative Root,Alternative Root,Nocturnal 2097 (Long Version),,Alternative Root,Nocturnal 2097 (Long Version),Alternative Root,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version)
21,Obstructor,Badlands,19,43,62,24,Badlands,,Badlands,Badlands,Badlands,Badlands,Obstructor,,Obstructor,Obstructor,,Badlands,Badlands,Obstructor,Badlands,,Obstructor,Obstructor,Badlands,Badlands,Badlands,Badlands,Badlands,,Badlands,Obstructor,,Obstructor,Badlands,Obstructor,Obstructor,Obstructor,Badlands,Obstructor,Badlands,Badlands,,,Badlands,Badlands,,,Badlands,Badlands,,Badlands,Obstructor,Badlands,Badlands,,,Badlands,Badlands,,Badlands,Obstructor,,Obstructor,Obstructor,Badlands,Badlands,,Badlands,,Badlands,Badlands,Badlands,,Badlands,Badlands,,,,Badlands,,Badlands,Badlands,Badlands,,Obstructor,Badlands,Obstructor,Badlands,Badlands,Badlands,Obstructor
22,Les Enfants du Paradis,Deserted - Younger Brother and Elder Sister and... (Stage3),24,37,61,13,Deserted - Younger Brother and Elder Sister and... (Stage3),,Deserted - Younger Brother and Elder Sister and... (Stage3),Les Enfants du Paradis,Les Enfants du Paradis,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),,Deserted - Younger Brother and Elder Sister and... (Stage3),Les Enfants du Paradis,,Deserted - Younger Brother and Elder Sister and... (Stage3),Les Enfants du Paradis,Deserted - Younger Brother and Elder Sister and... (Stage3),Les Enfants du Paradis,,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),Les Enfants du Paradis,Les Enfants du Paradis,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),,Les Enfants du Paradis,Deserted - Younger Brother and Elder Sister and... (Stage3),,Les Enfants du Paradis,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),Les Enfants du Paradis,Les Enfants du Paradis,Les Enfants du Paradis,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),,,Deserted - Younger Brother and Elder Sister and... (Stage3),Les Enfants du Paradis,,,Deserted - Younger Brother and Elder Sister and... (Stage3),Les Enfants du Paradis,,Deserted - Younger Brother and Elder Sister and... (Stage3),Les Enfants du Paradis,Deserted - Younger Brother and Elder Sister and... (Stage3),Les Enfants du Paradis,,,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),,Deserted - Younger Brother and Elder Sister and... (Stage3),Les Enfants du Paradis,,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),Les Enfants du Paradis,Deserted - Younger Brother and Elder Sister and... (Stage3),,Deserted - Younger Brother and Elder Sister and... (Stage3),,Les Enfants du Paradis,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),,Les Enfants du Paradis,Les Enfants du Paradis,,,,,,Les Enfants du Paradis,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),Les Enfants du Paradis,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),Les Enfants du Paradis
23,Sog-Gee's Realm (Water),Neat Beat Retreat,34,23,57,11,Sog-Gee's Realm (Water),,Sog-Gee's Realm (Water),Sog-Gee's Realm (Water),Neat Beat Retreat,Sog-Gee's Realm (Water),Sog-Gee's Realm (Water),Neat Beat Retreat,,,,Sog-Gee's Realm (Water),Neat Beat Retreat,Sog-Gee's Realm (Water),Sog-Gee's Realm (Water),,Neat Beat Retreat,Sog-Gee's Realm (Water),Neat Beat Retreat,,,Neat Beat Retreat,Neat Beat Retreat,,Neat Beat Retreat,Sog-Gee's Realm (Water),,Sog-Gee's Realm (Water),Sog-Gee's Realm (Water),Sog-Gee's Realm (Water),Sog-Gee's Realm (Water),Neat Beat Retreat,Sog-Gee's Realm (Water),Sog-Gee's Realm (Water),Sog-Gee's Realm (Water),Neat Beat Retreat,Neat Beat Retreat,,Sog-Gee's Realm (Water),Neat Beat Retreat,,,Neat Beat Retreat,Neat Beat Retreat,,Sog-Gee's Realm (Water),Sog-Gee's Realm (Water),Neat Beat Retreat,Sog-Gee's Realm (Water),,,Sog-Gee's Realm (Water),,,Sog-Gee's Realm (Water),Sog-Gee's Realm (Water),,Neat Beat Retreat,Sog-Gee's Realm (Water),Sog-Gee's Realm (Water),Neat Beat Retreat,,Sog-Gee's Realm (Water),,,Sog-Gee's Realm (Water),Sog-Gee's Realm (Water),,Neat Beat Retreat,Neat Beat Retreat,,,,,,Sog-Gee's Realm (Water),Sog-Gee's Realm (Water),Neat Beat Retreat,,Sog-Gee's Realm (Water),Neat Beat Retreat,Sog-Gee's Realm (Water),Neat Beat Retreat,Sog-Gee's Realm (Water),Sog-Gee's Realm (Water),Neat Beat Retreat
24,Can't Wait Until Night,Tap de Papapaya (Long Version),26,33,59,7,Tap de Papapaya (Long Version),,Can't Wait Until Night,Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Can't Wait Until Night,Tap de Papapaya (Long Version),Can't Wait Until Night,,,,Can't Wait Until Night,Tap de Papapaya (Long Version),Can't Wait Until Night,Can't Wait Until Night,,Can't Wait Until Night,Can't Wait Until Night,Tap de Papapaya (Long Version),,,Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),,Can't Wait Until Night,Tap de Papapaya (Long Version),,Can't Wait Until Night,Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Can't Wait Until Night,Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Can't Wait Until Night,Can't Wait Until Night,Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),,Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),,,Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),,Can't Wait Until Night,Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Can't Wait Until Night,,,Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),,Tap de Papapaya (Long Version),Can't Wait Until Night,,Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),,Can't Wait Until Night,,Can't Wait Until Night,Can't Wait Until Night,Tap de Papapaya (Long Version),,Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),,,,,,Can't Wait Until Night,Can't Wait Until Night,Tap de Papapaya (Long Version),,Can't Wait Until Night,Can't Wait Until Night,Tap de Papapaya (Long Version),Can't Wait Until Night,Can't Wait Until Night,Can't Wait Until Night,Tap de Papapaya (Long Version)
25,Rubia,Birdo II,15,41,56,26,Birdo II,,Birdo II,Birdo II,Rubia,Rubia,Rubia,Birdo II,,,,Birdo II,Birdo II,,Birdo II,Birdo II,Birdo II,Rubia,Birdo II,,,Birdo II,Birdo II,,Birdo II,Birdo II,,Birdo II,Rubia,Rubia,Birdo II,Birdo II,Birdo II,Birdo II,Birdo II,Birdo II,Birdo II,,Birdo II,Birdo II,,,Rubia,Rubia,,Birdo II,Birdo II,Birdo II,Rubia,,,Birdo II,Birdo II,,Rubia,Birdo II,,,Birdo II,Birdo II,Birdo II,,Rubia,,Birdo II,Rubia,Birdo II,,Birdo II,Birdo II,,,,,,Birdo II,Birdo II,Rubia,,Birdo II,Birdo II,,Rubia,,Rubia,Birdo II
26,It’s Going Down Now,Shop Demo,27,35,62,8,Shop Demo,,Shop Demo,It’s Going Down Now,Shop Demo,It’s Going Down Now,,,,Shop Demo,,Shop Demo,It’s Going Down Now,Shop Demo,Shop Demo,Shop Demo,Shop Demo,It’s Going Down Now,It’s Going Down Now,It’s Going Down Now,Shop Demo,It’s Going Down Now,Shop Demo,,Shop Demo,It’s Going Down Now,,Shop Demo,It’s Going Down Now,It’s Going Down Now,Shop Demo,Shop Demo,It’s Going Down Now,Shop Demo,Shop Demo,Shop Demo,Shop Demo,,It’s Going Down Now,It’s Going Down Now,,,Shop Demo,It’s Going Down Now,,It’s Going Down Now,It’s Going Down Now,Shop Demo,It’s Going Down Now,,,It’s Going Down Now,Shop Demo,Shop Demo,It’s Going Down Now,Shop Demo,Shop Demo,,Shop Demo,It’s Going Down Now,It’s Going Down Now,,Shop Demo,,Shop Demo,Shop Demo,Shop Demo,,Shop Demo,It’s Going Down Now,,,,Shop Demo,,It’s Going Down Now,Shop Demo,It’s Going Down Now,,Shop Demo,It’s Going Down Now,Shop Demo,It’s Going Down Now,It’s Going Down Now,Shop Demo,
27,Arbury Whistles,"Farde Mal Diavolo -Destroy Evil, then Come-",25,37,62,12,"Farde Mal Diavolo -Destroy Evil, then Come-",,Arbury Whistles,Arbury Whistles,Arbury Whistles,Arbury Whistles,,,,"Farde Mal Diavolo -Destroy Evil, then Come-",,Arbury Whistles,"Farde Mal Diavolo -Destroy Evil, then Come-",Arbury Whistles,"Farde Mal Diavolo -Destroy Evil, then Come-",Arbury Whistles,"Farde Mal Diavolo -Destroy Evil, then Come-",Arbury Whistles,"Farde Mal Diavolo -Destroy Evil, then Come-",Arbury Whistles,"Farde Mal Diavolo -Destroy Evil, then Come-",Arbury Whistles,"Farde Mal Diavolo -Destroy Evil, then Come-",,"Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-",,"Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-",,"Farde Mal Diavolo -Destroy Evil, then Come-",Arbury Whistles,,,Arbury Whistles,Arbury Whistles,,"Farde Mal Diavolo -Destroy Evil, then Come-",Arbury Whistles,"Farde Mal Diavolo -Destroy Evil, then Come-",Arbury Whistles,,,Arbury Whistles,"Farde Mal Diavolo -Destroy Evil, then Come-",Arbury Whistles,Arbury Whistles,"Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-",,Arbury Whistles,"Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-",,Arbury Whistles,,"Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-",,"Farde Mal Diavolo -Destroy Evil, then Come-",Arbury Whistles,,,,Arbury Whistles,,"Farde Mal Diavolo -Destroy Evil, then Come-",Arbury Whistles,"Farde Mal Diavolo -Destroy Evil, then Come-",,"Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-",Arbury Whistles,Arbury Whistles,
28,Mario Kart 8,side A,40,21,61,19,Mario Kart 8,,Mario Kart 8,side A,Mario Kart 8,Mario Kart 8,,,,Mario Kart 8,,Mario Kart 8,Mario Kart 8,Mario Kart 8,Mario Kart 8,,Mario Kart 8,Mario Kart 8,Mario Kart 8,Mario Kart 8,Mario Kart 8,Mario Kart 8,side A,,Mario Kart 8,Mario Kart 8,,side A,Mario Kart 8,side A,side A,side A,Mario Kart 8,Mario Kart 8,Mario Kart 8,side A,side A,,Mario Kart 8,Mario Kart 8,,,Mario Kart 8,Mario Kart 8,,Mario Kart 8,Mario Kart 8,Mario Kart 8,Mario Kart 8,,,Mario Kart 8,side A,Mario Kart 8,Mario Kart 8,side A,side A,,Mario Kart 8,side A,Mario Kart 8,,side A,,side A,Mario Kart 8,side A,,Mario Kart 8,Mario Kart 8,,,,side A,,side A,side A,Mario Kart 8,,side A,side A,side A,Mario Kart 8,Mario Kart 8,Mario Kart 8,
