ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,acire,afrono,andy,arti,az,bane,barrel,bebr,bitto,boss,cako,chaeix,chaos,collen,dan,dem,deo,dire,dis,dowolf,drj133,ema,fl81,gall,gin,haste,hb,hbj,horita,hotdog,hunj,hunt,isquen,janus,jona,jungle,kama,kcf,kecleon,kong,korji,lasa,lefty,lem,lilly,mac,maple,mark,max,mega,mihark,monkey,neko,nfun,ogura,p0,para,place,plas,pony,prince,prod,prody,pyre,rwlh,sea,sergio,skull,sly,taff,tazzy,tgs,tked,tre,tunnel,turus,uf8,ulti,wave,xuxon,xx521,zel,zts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Vast Ice Mountain,Melancholy of a Noisy Girl,30,33,63,3,Melancholy of a Noisy Girl,,Vast Ice Mountain,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,,,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,,Vast Ice Mountain,Vast Ice Mountain,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,Vast Ice Mountain,,Vast Ice Mountain,Vast Ice Mountain,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,,Melancholy of a Noisy Girl,Vast Ice Mountain,Melancholy of a Noisy Girl,Vast Ice Mountain,Vast Ice Mountain,Vast Ice Mountain,Vast Ice Mountain,Vast Ice Mountain,Melancholy of a Noisy Girl,,Vast Ice Mountain,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,Vast Ice Mountain,,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,,,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,Vast Ice Mountain,Melancholy of a Noisy Girl,,Melancholy of a Noisy Girl,Vast Ice Mountain,,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,Vast Ice Mountain,,Vast Ice Mountain,Melancholy of a Noisy Girl,,,Vast Ice Mountain,Vast Ice Mountain,Vast Ice Mountain,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,,Melancholy of a Noisy Girl,Melancholy of a Noisy Girl,,Vast Ice Mountain,Vast Ice Mountain,Melancholy of a Noisy Girl,,Vast Ice Mountain,Vast Ice Mountain,Vast Ice Mountain,Melancholy of a Noisy Girl,Vast Ice Mountain,Vast Ice Mountain,Melancholy of a Noisy Girl,,Vast Ice Mountain,,Vast Ice Mountain,,Melancholy of a Noisy Girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Durridin Forest,Kiss me Sunlights,21,43,64,22,Kiss me Sunlights,,Durridin Forest,Kiss me Sunlights,Durridin Forest,Kiss me Sunlights,Durridin Forest,,,Durridin Forest,Kiss me Sunlights,,Kiss me Sunlights,Kiss me Sunlights,Kiss me Sunlights,Kiss me Sunlights,Kiss me Sunlights,,Kiss me Sunlights,Kiss me Sunlights,Durridin Forest,Kiss me Sunlights,,Kiss me Sunlights,Kiss me Sunlights,Kiss me Sunlights,Kiss me Sunlights,Kiss me Sunlights,Durridin Forest,Durridin Forest,Kiss me Sunlights,Durridin Forest,,Kiss me Sunlights,Kiss me Sunlights,Kiss me Sunlights,Kiss me Sunlights,,Kiss me Sunlights,Durridin Forest,,,Kiss me Sunlights,Kiss me Sunlights,Kiss me Sunlights,Durridin Forest,,Durridin Forest,Durridin Forest,,Kiss me Sunlights,Durridin Forest,Durridin Forest,,Durridin Forest,Kiss me Sunlights,,,Kiss me Sunlights,Kiss me Sunlights,Kiss me Sunlights,Kiss me Sunlights,Durridin Forest,Kiss me Sunlights,Durridin Forest,Kiss me Sunlights,Kiss me Sunlights,,Kiss me Sunlights,Kiss me Sunlights,Durridin Forest,,Durridin Forest,Kiss me Sunlights,Durridin Forest,Kiss me Sunlights,Kiss me Sunlights,Kiss me Sunlights,Kiss me Sunlights,,Kiss me Sunlights,,Durridin Forest,,Kiss me Sunlights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Everything Goes On,Forlorn Last Stand,22,42,64,20,Forlorn Last Stand,,Forlorn Last Stand,Forlorn Last Stand,Everything Goes On,Everything Goes On,Everything Goes On,,Everything Goes On,,Forlorn Last Stand,,Everything Goes On,Forlorn Last Stand,Forlorn Last Stand,Forlorn Last Stand,Forlorn Last Stand,,Forlorn Last Stand,Everything Goes On,Everything Goes On,Everything Goes On,,Forlorn Last Stand,Forlorn Last Stand,Everything Goes On,Forlorn Last Stand,Forlorn Last Stand,Forlorn Last Stand,Forlorn Last Stand,Forlorn Last Stand,Forlorn Last Stand,Forlorn Last Stand,Forlorn Last Stand,Forlorn Last Stand,Forlorn Last Stand,Forlorn Last Stand,,Forlorn Last Stand,Forlorn Last Stand,,,Everything Goes On,Forlorn Last Stand,Forlorn Last Stand,Everything Goes On,,Everything Goes On,Forlorn Last Stand,,Everything Goes On,Forlorn Last Stand,Forlorn Last Stand,,Everything Goes On,Forlorn Last Stand,,Everything Goes On,Forlorn Last Stand,Forlorn Last Stand,,Everything Goes On,Forlorn Last Stand,Forlorn Last Stand,,Forlorn Last Stand,Forlorn Last Stand,,Forlorn Last Stand,Forlorn Last Stand,Everything Goes On,,Forlorn Last Stand,Everything Goes On,Forlorn Last Stand,Everything Goes On,Forlorn Last Stand,Forlorn Last Stand,Everything Goes On,,Everything Goes On,,Everything Goes On,Forlorn Last Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Sinful Syncopation,Library,41,22,63,19,Sinful Syncopation,,Sinful Syncopation,Sinful Syncopation,Sinful Syncopation,Sinful Syncopation,Sinful Syncopation,,Library,,Sinful Syncopation,,Library,Library,Sinful Syncopation,Library,Sinful Syncopation,,Library,Sinful Syncopation,Sinful Syncopation,Sinful Syncopation,,Library,Library,Sinful Syncopation,Sinful Syncopation,Library,Sinful Syncopation,Sinful Syncopation,Library,Library,Sinful Syncopation,Sinful Syncopation,Sinful Syncopation,Sinful Syncopation,Library,,Sinful Syncopation,Sinful Syncopation,,,Sinful Syncopation,Sinful Syncopation,Sinful Syncopation,Sinful Syncopation,,Sinful Syncopation,Sinful Syncopation,,Library,Library,Sinful Syncopation,,Sinful Syncopation,Library,,,Sinful Syncopation,Library,,Library,Sinful Syncopation,Sinful Syncopation,,Sinful Syncopation,Library,,Library,Library,Sinful Syncopation,,Sinful Syncopation,Sinful Syncopation,Library,Sinful Syncopation,Library,Sinful Syncopation,Library,,Sinful Syncopation,,Sinful Syncopation,Sinful Syncopation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Ladies and PAC-MAN,Kenhull Badlands,29,34,63,5,Kenhull Badlands,,Kenhull Badlands,Ladies and PAC-MAN,Kenhull Badlands,Kenhull Badlands,Kenhull Badlands,,Kenhull Badlands,,Kenhull Badlands,,Ladies and PAC-MAN,Kenhull Badlands,Ladies and PAC-MAN,Ladies and PAC-MAN,Kenhull Badlands,,Kenhull Badlands,Ladies and PAC-MAN,Kenhull Badlands,Ladies and PAC-MAN,,Ladies and PAC-MAN,Kenhull Badlands,Kenhull Badlands,Kenhull Badlands,Ladies and PAC-MAN,Kenhull Badlands,Kenhull Badlands,Ladies and PAC-MAN,Ladies and PAC-MAN,Ladies and PAC-MAN,Ladies and PAC-MAN,Ladies and PAC-MAN,Kenhull Badlands,Ladies and PAC-MAN,,Ladies and PAC-MAN,Kenhull Badlands,,,Kenhull Badlands,Kenhull Badlands,Kenhull Badlands,Ladies and PAC-MAN,,Ladies and PAC-MAN,Ladies and PAC-MAN,,Ladies and PAC-MAN,Kenhull Badlands,Kenhull Badlands,,Ladies and PAC-MAN,Kenhull Badlands,,,Ladies and PAC-MAN,Ladies and PAC-MAN,,Kenhull Badlands,Ladies and PAC-MAN,Ladies and PAC-MAN,,Kenhull Badlands,Kenhull Badlands,,Ladies and PAC-MAN,Kenhull Badlands,Ladies and PAC-MAN,,Kenhull Badlands,Ladies and PAC-MAN,Kenhull Badlands,Kenhull Badlands,Kenhull Badlands,Kenhull Badlands,Ladies and PAC-MAN,,Kenhull Badlands,,Kenhull Badlands,Ladies and PAC-MAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tower of Memories,,,
16,Anywhere (Where You’re Not),Baladium’s Drive,24,37,61,13,Baladium’s Drive,,Anywhere (Where You’re Not),Baladium’s Drive,Anywhere (Where You’re Not),Anywhere (Where You’re Not),Baladium’s Drive,,Anywhere (Where You’re Not),Anywhere (Where You’re Not),Anywhere (Where You’re Not),,Baladium’s Drive,,Anywhere (Where You’re Not),Baladium’s Drive,Baladium’s Drive,,Baladium’s Drive,Anywhere (Where You’re Not),Baladium’s Drive,Anywhere (Where You’re Not),,Baladium’s Drive,Baladium’s Drive,Baladium’s Drive,,Baladium’s Drive,Baladium’s Drive,Baladium’s Drive,Baladium’s Drive,Anywhere (Where You’re Not),,Anywhere (Where You’re Not),Baladium’s Drive,Baladium’s Drive,Baladium’s Drive,,Anywhere (Where You’re Not),Baladium’s Drive,,,Baladium’s Drive,Baladium’s Drive,Baladium’s Drive,Anywhere (Where You’re Not),,Anywhere (Where You’re Not),Baladium’s Drive,,Anywhere (Where You’re Not),,Anywhere (Where You’re Not),,Baladium’s Drive,Baladium’s Drive,,,Baladium’s Drive,Baladium’s Drive,Baladium’s Drive,Anywhere (Where You’re Not),Anywhere (Where You’re Not),Baladium’s Drive,,Anywhere (Where You’re Not),Baladium’s Drive,,Baladium’s Drive,Baladium’s Drive,Anywhere (Where You’re Not),,Baladium’s Drive,Anywhere (Where You’re Not),Baladium’s Drive,Anywhere (Where You’re Not),Baladium’s Drive,Baladium’s Drive,Anywhere (Where You’re Not),,Baladium’s Drive,,Anywhere (Where You’re Not),Baladium’s Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burger King Futo Lettuce (Futo's Theme),,,
17,Flags of Brave,Taido (Kenichiro Fukui Remix),25,37,62,12,Taido (Kenichiro Fukui Remix),,Flags of Brave,Taido (Kenichiro Fukui Remix),Flags of Brave,Flags of Brave,Flags of Brave,,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Flags of Brave,,Taido (Kenichiro Fukui Remix),,Flags of Brave,Taido (Kenichiro Fukui Remix),Flags of Brave,,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Flags of Brave,Flags of Brave,,Taido (Kenichiro Fukui Remix),Flags of Brave,Taido (Kenichiro Fukui Remix),,Flags of Brave,Flags of Brave,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),,Flags of Brave,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),,,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),,Taido (Kenichiro Fukui Remix),Flags of Brave,,Flags of Brave,Taido (Kenichiro Fukui Remix),Flags of Brave,,Flags of Brave,Taido (Kenichiro Fukui Remix),,,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Flags of Brave,Taido (Kenichiro Fukui Remix),Flags of Brave,Taido (Kenichiro Fukui Remix),,Flags of Brave,Taido (Kenichiro Fukui Remix),,Taido (Kenichiro Fukui Remix),Flags of Brave,Flags of Brave,,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Flags of Brave,Taido (Kenichiro Fukui Remix),Flags of Brave,Taido (Kenichiro Fukui Remix),,Flags of Brave,,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Recursion,Break the Rules,43,18,61,25,Recursion,,Break the Rules,Recursion,Break the Rules,Break the Rules,Break the Rules,,,Recursion,Break the Rules,,Recursion,,Recursion,Break the Rules,Recursion,,Recursion,Recursion,Recursion,Break the Rules,,Recursion,Recursion,Break the Rules,,Recursion,Break the Rules,Break the Rules,Recursion,Recursion,,Recursion,Recursion,Recursion,Recursion,,Recursion,Break the Rules,,,Recursion,Recursion,Recursion,Recursion,,Recursion,Recursion,,Recursion,Recursion,Recursion,,Break the Rules,Recursion,,,Recursion,Recursion,Break the Rules,Recursion,Break the Rules,Recursion,,Recursion,Recursion,,Recursion,Break the Rules,Break the Rules,,Recursion,Recursion,Recursion,Recursion,Recursion,Recursion,Recursion,,Break the Rules,,Recursion,Break the Rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Catalina,Central Park,26,34,60,8,Central Park,,Central Park,Catalina,Central Park,Central Park,Central Park,,Central Park,Central Park,Central Park,,Catalina,Central Park,Central Park,Catalina,Central Park,,Central Park,Central Park,Catalina,Central Park,,Central Park,Catalina,Catalina,,Catalina,Catalina,Central Park,Catalina,Central Park,,Catalina,Catalina,Central Park,Central Park,,Catalina,Central Park,,,Catalina,Catalina,Catalina,Central Park,,Central Park,Central Park,,Catalina,Catalina,,,Catalina,,,,Catalina,Catalina,,Central Park,Catalina,Catalina,Catalina,,Central Park,,Central Park,Catalina,Central Park,,Central Park,Central Park,Central Park,Central Park,Central Park,Catalina,Central Park,,Catalina,Central Park,Central Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Stage 2,Tokyo,25,35,60,10,Tokyo,,Tokyo,Tokyo,Tokyo,Tokyo,Tokyo,,Stage 2,Stage 2,Tokyo,,Stage 2,Tokyo,Tokyo,Stage 2,Tokyo,,Stage 2,Tokyo,Tokyo,Stage 2,,Tokyo,Stage 2,Tokyo,,Stage 2,Tokyo,Tokyo,Stage 2,Stage 2,,Tokyo,Tokyo,Stage 2,Stage 2,,Tokyo,Stage 2,,,Tokyo,Tokyo,Stage 2,Tokyo,,Tokyo,Tokyo,,Tokyo,Tokyo,,,Tokyo,Stage 2,,,Tokyo,Stage 2,,Tokyo,Stage 2,Stage 2,,,Stage 2,,Stage 2,Tokyo,Tokyo,,Tokyo,Stage 2,Stage 2,Tokyo,Stage 2,Stage 2,Stage 2,,Tokyo,Tokyo,Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Mission Theme 02,Let's Mikusercise!!,44,17,61,27,Mission Theme 02,,Mission Theme 02,Mission Theme 02,Mission Theme 02,Let's Mikusercise!!,Mission Theme 02,,Mission Theme 02,Mission Theme 02,Mission Theme 02,,Mission Theme 02,Mission Theme 02,Mission Theme 02,Mission Theme 02,Mission Theme 02,,Mission Theme 02,Mission Theme 02,Mission Theme 02,Let's Mikusercise!!,,Mission Theme 02,Mission Theme 02,Let's Mikusercise!!,,Mission Theme 02,Mission Theme 02,Mission Theme 02,Mission Theme 02,Let's Mikusercise!!,,Mission Theme 02,Mission Theme 02,Let's Mikusercise!!,Let's Mikusercise!!,,Let's Mikusercise!!,Mission Theme 02,,,Mission Theme 02,Mission Theme 02,Mission Theme 02,Let's Mikusercise!!,,Let's Mikusercise!!,Mission Theme 02,,Mission Theme 02,Mission Theme 02,,,Mission Theme 02,Mission Theme 02,,,Let's Mikusercise!!,Mission Theme 02,,Let's Mikusercise!!,Mission Theme 02,Mission Theme 02,Let's Mikusercise!!,,Mission Theme 02,,Mission Theme 02,Mission Theme 02,Let's Mikusercise!!,,Mission Theme 02,Let's Mikusercise!!,Mission Theme 02,Let's Mikusercise!!,Mission Theme 02,Let's Mikusercise!!,Mission Theme 02,,Mission Theme 02,Let's Mikusercise!!,Mission Theme 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,To the West,memory=entryrrrr/////,44,20,64,24,To the West,,To the West,To the West,To the West,To the West,To the West,,,To the West,To the West,,,To the West,To the West,memory=entryrrrr/////,To the West,,To the West,To the West,To the West,To the West,,memory=entryrrrr/////,To the West,memory=entryrrrr/////,To the West,memory=entryrrrr/////,To the West,To the West,memory=entryrrrr/////,memory=entryrrrr/////,memory=entryrrrr/////,To the West,memory=entryrrrr/////,To the West,memory=entryrrrr/////,,To the West,memory=entryrrrr/////,,,To the West,To the West,To the West,To the West,,To the West,memory=entryrrrr/////,,To the West,To the West,To the West,,To the West,To the West,,memory=entryrrrr/////,memory=entryrrrr/////,memory=entryrrrr/////,,To the West,memory=entryrrrr/////,To the West,To the West,To the West,To the West,,memory=entryrrrr/////,memory=entryrrrr/////,To the West,,To the West,memory=entryrrrr/////,memory=entryrrrr/////,To the West,memory=entryrrrr/////,To the West,To the West,,To the West,,To the West,To the West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",FLAME CORE ~THE CAVERN~,32,30,62,2,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,FLAME CORE ~THE CAVERN~,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",FLAME CORE ~THE CAVERN~,FLAME CORE ~THE CAVERN~,FLAME CORE ~THE CAVERN~,,,FLAME CORE ~THE CAVERN~,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,,FLAME CORE ~THE CAVERN~,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",FLAME CORE ~THE CAVERN~,FLAME CORE ~THE CAVERN~,,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",FLAME CORE ~THE CAVERN~,FLAME CORE ~THE CAVERN~,FLAME CORE ~THE CAVERN~,FLAME CORE ~THE CAVERN~,FLAME CORE ~THE CAVERN~,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",FLAME CORE ~THE CAVERN~,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",FLAME CORE ~THE CAVERN~,FLAME CORE ~THE CAVERN~,FLAME CORE ~THE CAVERN~,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",FLAME CORE ~THE CAVERN~,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",FLAME CORE ~THE CAVERN~,,FLAME CORE ~THE CAVERN~,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",FLAME CORE ~THE CAVERN~,,FLAME CORE ~THE CAVERN~,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,,FLAME CORE ~THE CAVERN~,FLAME CORE ~THE CAVERN~,,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",FLAME CORE ~THE CAVERN~,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",FLAME CORE ~THE CAVERN~,FLAME CORE ~THE CAVERN~,,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",FLAME CORE ~THE CAVERN~,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",FLAME CORE ~THE CAVERN~,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,,,FLAME CORE ~THE CAVERN~,".BLUE -To Live Again on Earth- (C1, D1, D2, E1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Re-Fiction-O,Boss Battle Song 2,34,29,63,5,Re-Fiction-O,,Boss Battle Song 2,Re-Fiction-O,Boss Battle Song 2,Boss Battle Song 2,Boss Battle Song 2,,,Re-Fiction-O,Boss Battle Song 2,,,Boss Battle Song 2,Boss Battle Song 2,Re-Fiction-O,Boss Battle Song 2,,Re-Fiction-O,Re-Fiction-O,Boss Battle Song 2,Boss Battle Song 2,,Boss Battle Song 2,Boss Battle Song 2,Boss Battle Song 2,Boss Battle Song 2,Re-Fiction-O,Re-Fiction-O,Boss Battle Song 2,Re-Fiction-O,Re-Fiction-O,Boss Battle Song 2,Re-Fiction-O,Re-Fiction-O,Re-Fiction-O,Re-Fiction-O,,Re-Fiction-O,Re-Fiction-O,,,Boss Battle Song 2,Re-Fiction-O,Boss Battle Song 2,Re-Fiction-O,,Re-Fiction-O,Re-Fiction-O,,Re-Fiction-O,Boss Battle Song 2,Boss Battle Song 2,,Boss Battle Song 2,Re-Fiction-O,,,Re-Fiction-O,Re-Fiction-O,,Re-Fiction-O,Boss Battle Song 2,Re-Fiction-O,Re-Fiction-O,Re-Fiction-O,Re-Fiction-O,,Re-Fiction-O,Re-Fiction-O,Boss Battle Song 2,,Boss Battle Song 2,Re-Fiction-O,Boss Battle Song 2,Re-Fiction-O,Re-Fiction-O,Re-Fiction-O,Boss Battle Song 2,,Boss Battle Song 2,,Boss Battle Song 2,Boss Battle Song 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Another Soul,Alight (Storm),27,33,60,6,Alight (Storm),,Alight (Storm),,Alight (Storm),Alight (Storm),Alight (Storm),,Alight (Storm),Another Soul,Another Soul,,,Alight (Storm),Alight (Storm),Another Soul,Another Soul,,Alight (Storm),Another Soul,Alight (Storm),Alight (Storm),,Another Soul,Alight (Storm),Alight (Storm),Alight (Storm),Another Soul,Alight (Storm),,Alight (Storm),Another Soul,,Alight (Storm),Alight (Storm),Alight (Storm),Another Soul,,Another Soul,Another Soul,,,Another Soul,Another Soul,Alight (Storm),Alight (Storm),,,Another Soul,,Another Soul,Another Soul,Alight (Storm),,Alight (Storm),Another Soul,,,Alight (Storm),Another Soul,,Another Soul,Another Soul,Alight (Storm),Alight (Storm),Another Soul,Another Soul,,Another Soul,Alight (Storm),Alight (Storm),,Another Soul,,Another Soul,Alight (Storm),Alight (Storm),Alight (Storm),Alight (Storm),,Alight (Storm),Another Soul,Alight (Storm),Another Soul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Passage from Genesis,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,40,22,62,18,Passage from Genesis,,Passage from Genesis,,Passage from Genesis,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,,Passage from Genesis,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,Passage from Genesis,,,Passage from Genesis,Passage from Genesis,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,Passage from Genesis,,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,Passage from Genesis,Passage from Genesis,Passage from Genesis,,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,Passage from Genesis,Passage from Genesis,Passage from Genesis,Passage from Genesis,Passage from Genesis,,Passage from Genesis,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,,Passage from Genesis,Passage from Genesis,,,Passage from Genesis,Passage from Genesis,Passage from Genesis,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,,,Passage from Genesis,,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,Passage from Genesis,Passage from Genesis,,Passage from Genesis,Passage from Genesis,,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,Passage from Genesis,Passage from Genesis,,Passage from Genesis,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,Passage from Genesis,Passage from Genesis,,Passage from Genesis,Passage from Genesis,Passage from Genesis,,Passage from Genesis,Passage from Genesis,Passage from Genesis,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,,Passage from Genesis,Passage from Genesis,Passage from Genesis,Beyond the Bounds Mitsuto Suzuki 020203 Mix feat.Sana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
