ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,akk,ama,andy,arti,azu,barrel,bebr,cako,cap,chaeix,chaos,collen,crest,dan,dem,deo,devi,dire,dis,dowolf,dragon,drj133,ema,fivda,fl81,flam,gall,gba,golden,haste,hb,hbj,horita,hotdog,hunt,isquen,janus,jona,jungle,kama,kcf,kid,koala,korji,lasa,lefty,lem,mac,marg,mark,max,mega,mihark,moon,mzero,nfun,orange,p0,pablo,para,pixel,place,plas,pony,prince,prod,prody,pyre,rev,rika,rwlh,sceptile,sergio,shark,skull,sly,taffer,tazzy,tennis,tgs,tked,tre,tunnel,turus,uf8,wave,xx521,yhen,zel
11,Purna,Give it a Shot,48,21,69,27,Purna,,Give it a Shot,,Purna,Purna,Give it a Shot,Purna,,,,,Give it a Shot,Give it a Shot,,Purna,Purna,Give it a Shot,Give it a Shot,Purna,Purna,Purna,,Give it a Shot,Purna,Purna,Give it a Shot,,Give it a Shot,,Purna,Purna,Give it a Shot,Purna,Purna,Give it a Shot,Give it a Shot,Purna,Give it a Shot,Purna,Purna,Purna,Purna,Give it a Shot,,,Purna,Purna,Purna,Give it a Shot,Purna,Purna,Purna,Purna,,,,Purna,Purna,Purna,Purna,Purna,Purna,Purna,Give it a Shot,Purna,Purna,Purna,,Purna,,,Purna,Purna,Purna,Purna,Purna,Give it a Shot,Purna,,,Purna,Give it a Shot,Purna,Purna,Purna,Purna,Give it a Shot,Give it a Shot,,Give it a Shot
12,Vending Machine of Love,Yearnings of the Wind,25,43,68,18,Yearnings of the Wind,,Yearnings of the Wind,,Yearnings of the Wind,Yearnings of the Wind,Vending Machine of Love,Yearnings of the Wind,,,,,Vending Machine of Love,Vending Machine of Love,,Yearnings of the Wind,,Yearnings of the Wind,Vending Machine of Love,Yearnings of the Wind,Vending Machine of Love,Yearnings of the Wind,,Vending Machine of Love,Vending Machine of Love,Yearnings of the Wind,Vending Machine of Love,,Yearnings of the Wind,,Yearnings of the Wind,Yearnings of the Wind,Yearnings of the Wind,Yearnings of the Wind,Yearnings of the Wind,Yearnings of the Wind,Yearnings of the Wind,Vending Machine of Love,Vending Machine of Love,Yearnings of the Wind,Vending Machine of Love,Vending Machine of Love,Vending Machine of Love,Yearnings of the Wind,,,Yearnings of the Wind,Yearnings of the Wind,Yearnings of the Wind,Yearnings of the Wind,Vending Machine of Love,Yearnings of the Wind,Vending Machine of Love,Vending Machine of Love,,,,Yearnings of the Wind,Yearnings of the Wind,Vending Machine of Love,Vending Machine of Love,Vending Machine of Love,Yearnings of the Wind,Yearnings of the Wind,Vending Machine of Love,Yearnings of the Wind,Vending Machine of Love,Vending Machine of Love,,Yearnings of the Wind,,,Yearnings of the Wind,Vending Machine of Love,Yearnings of the Wind,Yearnings of the Wind,Vending Machine of Love,Vending Machine of Love,Yearnings of the Wind,,,Yearnings of the Wind,Yearnings of the Wind,Yearnings of the Wind,Yearnings of the Wind,Yearnings of the Wind,Yearnings of the Wind,Yearnings of the Wind,Yearnings of the Wind,,Yearnings of the Wind
13,What I'm Made of... / Last Boss ver.2: Metal Overlord,Baluchons,27,36,63,9,Baluchons,,What I'm Made of... / Last Boss ver.2: Metal Overlord,,Baluchons,,What I'm Made of... / Last Boss ver.2: Metal Overlord,,,Baluchons,,,Baluchons,Baluchons,,What I'm Made of... / Last Boss ver.2: Metal Overlord,,What I'm Made of... / Last Boss ver.2: Metal Overlord,What I'm Made of... / Last Boss ver.2: Metal Overlord,What I'm Made of... / Last Boss ver.2: Metal Overlord,Baluchons,What I'm Made of... / Last Boss ver.2: Metal Overlord,What I'm Made of... / Last Boss ver.2: Metal Overlord,What I'm Made of... / Last Boss ver.2: Metal Overlord,Baluchons,Baluchons,Baluchons,,What I'm Made of... / Last Boss ver.2: Metal Overlord,,Baluchons,What I'm Made of... / Last Boss ver.2: Metal Overlord,What I'm Made of... / Last Boss ver.2: Metal Overlord,What I'm Made of... / Last Boss ver.2: Metal Overlord,Baluchons,Baluchons,What I'm Made of... / Last Boss ver.2: Metal Overlord,Baluchons,What I'm Made of... / Last Boss ver.2: Metal Overlord,Baluchons,Baluchons,,Baluchons,,Baluchons,,,Baluchons,What I'm Made of... / Last Boss ver.2: Metal Overlord,What I'm Made of... / Last Boss ver.2: Metal Overlord,What I'm Made of... / Last Boss ver.2: Metal Overlord,,Baluchons,Baluchons,,,,Baluchons,What I'm Made of... / Last Boss ver.2: Metal Overlord,Baluchons,What I'm Made of... / Last Boss ver.2: Metal Overlord,Baluchons,,Baluchons,,What I'm Made of... / Last Boss ver.2: Metal Overlord,Baluchons,Baluchons,,Baluchons,,What I'm Made of... / Last Boss ver.2: Metal Overlord,Baluchons,What I'm Made of... / Last Boss ver.2: Metal Overlord,Baluchons,Baluchons,Baluchons,What I'm Made of... / Last Boss ver.2: Metal Overlord,Baluchons,,,What I'm Made of... / Last Boss ver.2: Metal Overlord,Baluchons,What I'm Made of... / Last Boss ver.2: Metal Overlord,Baluchons,Baluchons,Baluchons,,What I'm Made of... / Last Boss ver.2: Metal Overlord,,Baluchons
14,Heal the World,Azure Archipelago,14,49,63,35,Azure Archipelago,,Azure Archipelago,,Heal the World,,Heal the World,,,Azure Archipelago,,,Azure Archipelago,Azure Archipelago,,Azure Archipelago,,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,Heal the World,Azure Archipelago,Heal the World,Azure Archipelago,Azure Archipelago,Azure Archipelago,,Azure Archipelago,,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,,Azure Archipelago,,Heal the World,,,Azure Archipelago,Azure Archipelago,Azure Archipelago,Heal the World,,Heal the World,Azure Archipelago,,,,Azure Archipelago,Heal the World,Heal the World,Azure Archipelago,Azure Archipelago,,Azure Archipelago,,Azure Archipelago,Azure Archipelago,Azure Archipelago,,Azure Archipelago,,Heal the World,Heal the World,Azure Archipelago,Azure Archipelago,Azure Archipelago,Heal the World,Heal the World,Azure Archipelago,,,Azure Archipelago,Azure Archipelago,Heal the World,Azure Archipelago,Azure Archipelago,Azure Archipelago,,Azure Archipelago,,Azure Archipelago
15,Bury The Light,We Are Burning Rangers (English Version),27,34,61,7,We Are Burning Rangers (English Version),,We Are Burning Rangers (English Version),,Bury The Light,,We Are Burning Rangers (English Version),,,We Are Burning Rangers (English Version),,,Bury The Light,We Are Burning Rangers (English Version),,Bury The Light,,Bury The Light,Bury The Light,Bury The Light,We Are Burning Rangers (English Version),Bury The Light,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),,We Are Burning Rangers (English Version),,We Are Burning Rangers (English Version),Bury The Light,We Are Burning Rangers (English Version),Bury The Light,Bury The Light,Bury The Light,We Are Burning Rangers (English Version),Bury The Light,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),,We Are Burning Rangers (English Version),,Bury The Light,,,Bury The Light,Bury The Light,Bury The Light,Bury The Light,,Bury The Light,We Are Burning Rangers (English Version),,,,Bury The Light,Bury The Light,,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),,We Are Burning Rangers (English Version),,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),,We Are Burning Rangers (English Version),,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),Bury The Light,,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),Bury The Light,,,Bury The Light,We Are Burning Rangers (English Version),Bury The Light,Bury The Light,Bury The Light,We Are Burning Rangers (English Version),,Bury The Light,,We Are Burning Rangers (English Version)
16,Gnorman's Theme,Lost Painting,20,46,66,26,Lost Painting,,Lost Painting,,Lost Painting,,Lost Painting,Gnorman's Theme,Lost Painting,,,,,Gnorman's Theme,,Lost Painting,,Lost Painting,Lost Painting,Gnorman's Theme,Lost Painting,Lost Painting,Gnorman's Theme,Gnorman's Theme,Lost Painting,Lost Painting,Lost Painting,,Gnorman's Theme,,Gnorman's Theme,Lost Painting,Lost Painting,Lost Painting,Gnorman's Theme,Gnorman's Theme,Lost Painting,Lost Painting,Lost Painting,Lost Painting,Gnorman's Theme,Lost Painting,Gnorman's Theme,Lost Painting,,,,Lost Painting,Lost Painting,Lost Painting,Gnorman's Theme,Lost Painting,Lost Painting,Lost Painting,,,,,Lost Painting,Gnorman's Theme,Lost Painting,Lost Painting,,Gnorman's Theme,Lost Painting,Lost Painting,Lost Painting,Lost Painting,Gnorman's Theme,Lost Painting,,Lost Painting,Gnorman's Theme,Gnorman's Theme,Gnorman's Theme,,Gnorman's Theme,Lost Painting,Lost Painting,,,Lost Painting,Lost Painting,Lost Painting,Gnorman's Theme,Lost Painting,Lost Painting,Lost Painting,Lost Painting,,Lost Painting
17,Weapons Factory,KANNANSHINKU,30,35,65,5,KANNANSHINKU,,Weapons Factory,,KANNANSHINKU,,KANNANSHINKU,Weapons Factory,,,,,,Weapons Factory,,Weapons Factory,Weapons Factory,KANNANSHINKU,KANNANSHINKU,KANNANSHINKU,KANNANSHINKU,KANNANSHINKU,Weapons Factory,Weapons Factory,KANNANSHINKU,KANNANSHINKU,Weapons Factory,,KANNANSHINKU,,KANNANSHINKU,Weapons Factory,KANNANSHINKU,Weapons Factory,Weapons Factory,KANNANSHINKU,KANNANSHINKU,KANNANSHINKU,Weapons Factory,KANNANSHINKU,KANNANSHINKU,KANNANSHINKU,KANNANSHINKU,Weapons Factory,,,,KANNANSHINKU,Weapons Factory,KANNANSHINKU,Weapons Factory,Weapons Factory,KANNANSHINKU,KANNANSHINKU,,,,KANNANSHINKU,Weapons Factory,KANNANSHINKU,KANNANSHINKU,Weapons Factory,,KANNANSHINKU,KANNANSHINKU,Weapons Factory,KANNANSHINKU,KANNANSHINKU,KANNANSHINKU,KANNANSHINKU,,Weapons Factory,Weapons Factory,KANNANSHINKU,Weapons Factory,,Weapons Factory,KANNANSHINKU,Weapons Factory,,,Weapons Factory,Weapons Factory,Weapons Factory,KANNANSHINKU,Weapons Factory,,,Weapons Factory,,Weapons Factory
18,Windslash Steps,《Shushi》 ~ Set You Free,36,29,65,7,Windslash Steps,,Windslash Steps,,Windslash Steps,,Windslash Steps,《Shushi》 ~ Set You Free,《Shushi》 ~ Set You Free,,,,,Windslash Steps,,Windslash Steps,,Windslash Steps,Windslash Steps,《Shushi》 ~ Set You Free,《Shushi》 ~ Set You Free,《Shushi》 ~ Set You Free,Windslash Steps,《Shushi》 ~ Set You Free,Windslash Steps,Windslash Steps,Windslash Steps,,《Shushi》 ~ Set You Free,,Windslash Steps,《Shushi》 ~ Set You Free,Windslash Steps,《Shushi》 ~ Set You Free,《Shushi》 ~ Set You Free,《Shushi》 ~ Set You Free,,Windslash Steps,Windslash Steps,《Shushi》 ~ Set You Free,Windslash Steps,Windslash Steps,《Shushi》 ~ Set You Free,Windslash Steps,,,,Windslash Steps,Windslash Steps,Windslash Steps,Windslash Steps,Windslash Steps,《Shushi》 ~ Set You Free,Windslash Steps,,,,Windslash Steps,《Shushi》 ~ Set You Free,《Shushi》 ~ Set You Free,Windslash Steps,《Shushi》 ~ Set You Free,,《Shushi》 ~ Set You Free,《Shushi》 ~ Set You Free,Windslash Steps,Windslash Steps,《Shushi》 ~ Set You Free,《Shushi》 ~ Set You Free,Windslash Steps,,Windslash Steps,《Shushi》 ~ Set You Free,《Shushi》 ~ Set You Free,《Shushi》 ~ Set You Free,,《Shushi》 ~ Set You Free,Windslash Steps,,,,Windslash Steps,Windslash Steps,《Shushi》 ~ Set You Free,《Shushi》 ~ Set You Free,《Shushi》 ~ Set You Free,《Shushi》 ~ Set You Free,Windslash Steps,Windslash Steps,,Windslash Steps
19,Main Theme,Journey To Candle Hill,23,40,63,17,Journey To Candle Hill,,Journey To Candle Hill,,Journey To Candle Hill,Main Theme,Main Theme,Journey To Candle Hill,,,,,,Journey To Candle Hill,,Main Theme,,Main Theme,Journey To Candle Hill,Journey To Candle Hill,Journey To Candle Hill,Journey To Candle Hill,Main Theme,Journey To Candle Hill,Main Theme,Journey To Candle Hill,Main Theme,,Main Theme,,Main Theme,Journey To Candle Hill,Journey To Candle Hill,Journey To Candle Hill,Journey To Candle Hill,Journey To Candle Hill,Journey To Candle Hill,Journey To Candle Hill,Main Theme,Journey To Candle Hill,Journey To Candle Hill,Journey To Candle Hill,Journey To Candle Hill,Main Theme,,,,Main Theme,Main Theme,Journey To Candle Hill,Journey To Candle Hill,Journey To Candle Hill,Journey To Candle Hill,Journey To Candle Hill,,,,Journey To Candle Hill,Journey To Candle Hill,Journey To Candle Hill,Main Theme,Main Theme,,Journey To Candle Hill,,Main Theme,Journey To Candle Hill,Journey To Candle Hill,,Journey To Candle Hill,,Main Theme,,Journey To Candle Hill,Journey To Candle Hill,,Journey To Candle Hill,Journey To Candle Hill,,,,Main Theme,Main Theme,Main Theme,Journey To Candle Hill,Journey To Candle Hill,Main Theme,Journey To Candle Hill,Main Theme,,Main Theme
20,Lost Forest,Back 2 Back,45,21,66,24,Lost Forest,,Back 2 Back,,Lost Forest,Lost Forest,Back 2 Back,Back 2 Back,,,,,,Back 2 Back,,Lost Forest,,Lost Forest,Back 2 Back,Lost Forest,Back 2 Back,Back 2 Back,Back 2 Back,Back 2 Back,Lost Forest,Lost Forest,Lost Forest,,Lost Forest,,Back 2 Back,Lost Forest,Lost Forest,Lost Forest,Lost Forest,Lost Forest,Back 2 Back,Lost Forest,Lost Forest,Lost Forest,Back 2 Back,Lost Forest,Lost Forest,Back 2 Back,,,,Lost Forest,Lost Forest,Lost Forest,Lost Forest,Lost Forest,Lost Forest,Back 2 Back,,,,Lost Forest,Lost Forest,Lost Forest,Back 2 Back,Back 2 Back,,Back 2 Back,,Lost Forest,Lost Forest,Back 2 Back,Lost Forest,Lost Forest,,Lost Forest,Back 2 Back,Lost Forest,Lost Forest,,Lost Forest,Back 2 Back,Lost Forest,,,Lost Forest,Lost Forest,Lost Forest,Lost Forest,Lost Forest,Lost Forest,Lost Forest,Lost Forest,,Back 2 Back
21,Kimigatame 2016,Ragna Breakers,27,38,65,11,Ragna Breakers,,Ragna Breakers,,Kimigatame 2016,Kimigatame 2016,Kimigatame 2016,Kimigatame 2016,,,,,,Ragna Breakers,,Ragna Breakers,,Kimigatame 2016,Ragna Breakers,Ragna Breakers,Ragna Breakers,Kimigatame 2016,Ragna Breakers,Ragna Breakers,Kimigatame 2016,Ragna Breakers,Kimigatame 2016,,Ragna Breakers,,Kimigatame 2016,Kimigatame 2016,Ragna Breakers,Kimigatame 2016,Kimigatame 2016,Ragna Breakers,Ragna Breakers,Kimigatame 2016,Ragna Breakers,Ragna Breakers,Ragna Breakers,Ragna Breakers,Ragna Breakers,Kimigatame 2016,,,,Kimigatame 2016,Kimigatame 2016,Ragna Breakers,Ragna Breakers,Ragna Breakers,Kimigatame 2016,Ragna Breakers,,,,Ragna Breakers,Kimigatame 2016,Ragna Breakers,Ragna Breakers,Ragna Breakers,,Ragna Breakers,,Kimigatame 2016,Ragna Breakers,Kimigatame 2016,Ragna Breakers,Kimigatame 2016,,Ragna Breakers,Ragna Breakers,Kimigatame 2016,Ragna Breakers,,Kimigatame 2016,Ragna Breakers,Ragna Breakers,,,Kimigatame 2016,Ragna Breakers,Kimigatame 2016,Ragna Breakers,Ragna Breakers,Kimigatame 2016,,Kimigatame 2016,,Ragna Breakers
22,NULL APOPHENIA,Layer Cake,33,27,60,6,NULL APOPHENIA,,NULL APOPHENIA,Layer Cake,Layer Cake,Layer Cake,NULL APOPHENIA,Layer Cake,,,,,,NULL APOPHENIA,,Layer Cake,,Layer Cake,NULL APOPHENIA,NULL APOPHENIA,NULL APOPHENIA,Layer Cake,NULL APOPHENIA,NULL APOPHENIA,,NULL APOPHENIA,NULL APOPHENIA,,Layer Cake,,NULL APOPHENIA,NULL APOPHENIA,Layer Cake,Layer Cake,NULL APOPHENIA,NULL APOPHENIA,Layer Cake,Layer Cake,NULL APOPHENIA,NULL APOPHENIA,NULL APOPHENIA,Layer Cake,NULL APOPHENIA,,,,,Layer Cake,Layer Cake,NULL APOPHENIA,NULL APOPHENIA,,Layer Cake,NULL APOPHENIA,,,,NULL APOPHENIA,NULL APOPHENIA,Layer Cake,Layer Cake,NULL APOPHENIA,,NULL APOPHENIA,,NULL APOPHENIA,Layer Cake,Layer Cake,NULL APOPHENIA,Layer Cake,,,,NULL APOPHENIA,NULL APOPHENIA,Layer Cake,Layer Cake,Layer Cake,,,,NULL APOPHENIA,Layer Cake,,NULL APOPHENIA,NULL APOPHENIA,NULL APOPHENIA,,Layer Cake,,Layer Cake
23,Underwater Lv. 1/4,Crocus,28,33,61,5,Crocus,,Crocus,Crocus,Crocus,Crocus,Crocus,Crocus,,,,,,Underwater Lv. 1/4,,Underwater Lv. 1/4,,Crocus,Crocus,Underwater Lv. 1/4,Crocus,Crocus,Underwater Lv. 1/4,Underwater Lv. 1/4,,Crocus,Crocus,,Underwater Lv. 1/4,,Crocus,Underwater Lv. 1/4,Crocus,Crocus,Underwater Lv. 1/4,Underwater Lv. 1/4,,Underwater Lv. 1/4,Crocus,Crocus,Underwater Lv. 1/4,Underwater Lv. 1/4,Underwater Lv. 1/4,,,,,Crocus,Crocus,Crocus,Crocus,,Crocus,Underwater Lv. 1/4,,,,Underwater Lv. 1/4,Crocus,Crocus,Underwater Lv. 1/4,Underwater Lv. 1/4,,Underwater Lv. 1/4,,Crocus,Crocus,Crocus,,Crocus,,,Underwater Lv. 1/4,Crocus,Underwater Lv. 1/4,Underwater Lv. 1/4,Crocus,Underwater Lv. 1/4,Underwater Lv. 1/4,,,Underwater Lv. 1/4,Underwater Lv. 1/4,Crocus,Underwater Lv. 1/4,Crocus,Underwater Lv. 1/4,,Crocus,,Underwater Lv. 1/4
24,Luma Pools,Crystal Caves,16,46,62,30,Crystal Caves,,Crystal Caves,Crystal Caves,Crystal Caves,Crystal Caves,Crystal Caves,Crystal Caves,,,,,,Crystal Caves,,Crystal Caves,,Crystal Caves,Crystal Caves,Luma Pools,Crystal Caves,Crystal Caves,Crystal Caves,Luma Pools,,Luma Pools,Crystal Caves,,Crystal Caves,,Crystal Caves,Luma Pools,Crystal Caves,Crystal Caves,Luma Pools,Crystal Caves,Crystal Caves,Crystal Caves,Crystal Caves,Crystal Caves,Crystal Caves,Crystal Caves,Crystal Caves,,,,,Luma Pools,Crystal Caves,Crystal Caves,Crystal Caves,,Luma Pools,Crystal Caves,,,,,Crystal Caves,Luma Pools,Crystal Caves,Luma Pools,,Crystal Caves,,Crystal Caves,Crystal Caves,Crystal Caves,Crystal Caves,Luma Pools,,,Luma Pools,Luma Pools,Luma Pools,Luma Pools,Crystal Caves,Crystal Caves,Crystal Caves,,,Luma Pools,Crystal Caves,Crystal Caves,Crystal Caves,Luma Pools,Crystal Caves,,Crystal Caves,,Crystal Caves
25,Immortal,Paranoid (World7-1),31,32,63,1,Paranoid (World7-1),,,,Immortal,Immortal,Immortal,Immortal,,,,,,Paranoid (World7-1),,Immortal,,Paranoid (World7-1),Immortal,Paranoid (World7-1),Paranoid (World7-1),Paranoid (World7-1),Paranoid (World7-1),Paranoid (World7-1),Paranoid (World7-1),Paranoid (World7-1),Paranoid (World7-1),,Immortal,,Immortal,Paranoid (World7-1),Immortal,Immortal,Paranoid (World7-1),Paranoid (World7-1),Immortal,Immortal,Paranoid (World7-1),Paranoid (World7-1),Paranoid (World7-1),Immortal,Paranoid (World7-1),,,,,Paranoid (World7-1),Immortal,Paranoid (World7-1),Immortal,,Immortal,Paranoid (World7-1),,,,Paranoid (World7-1),Immortal,Immortal,Immortal,Paranoid (World7-1),,Paranoid (World7-1),Immortal,Paranoid (World7-1),Immortal,Paranoid (World7-1),Paranoid (World7-1),Immortal,,,Immortal,Immortal,Paranoid (World7-1),Immortal,Immortal,Immortal,Immortal,,,Immortal,Paranoid (World7-1),Immortal,Paranoid (World7-1),Paranoid (World7-1),Paranoid (World7-1),,Immortal,,Paranoid (World7-1)
26,"Nilah, the Joy Unbound",Beat the Diamonds,27,34,61,7,Beat the Diamonds,,,,Beat the Diamonds,Beat the Diamonds,"Nilah, the Joy Unbound",Beat the Diamonds,,,,,,Beat the Diamonds,,Beat the Diamonds,,Beat the Diamonds,Beat the Diamonds,Beat the Diamonds,"Nilah, the Joy Unbound","Nilah, the Joy Unbound",Beat the Diamonds,"Nilah, the Joy Unbound",Beat the Diamonds,,Beat the Diamonds,,Beat the Diamonds,,Beat the Diamonds,,Beat the Diamonds,Beat the Diamonds,"Nilah, the Joy Unbound",Beat the Diamonds,Beat the Diamonds,Beat the Diamonds,Beat the Diamonds,"Nilah, the Joy Unbound",Beat the Diamonds,Beat the Diamonds,"Nilah, the Joy Unbound",,,,,Beat the Diamonds,"Nilah, the Joy Unbound","Nilah, the Joy Unbound","Nilah, the Joy Unbound",,"Nilah, the Joy Unbound",Beat the Diamonds,,,,"Nilah, the Joy Unbound","Nilah, the Joy Unbound","Nilah, the Joy Unbound",Beat the Diamonds,Beat the Diamonds,,"Nilah, the Joy Unbound","Nilah, the Joy Unbound",Beat the Diamonds,"Nilah, the Joy Unbound","Nilah, the Joy Unbound",Beat the Diamonds,"Nilah, the Joy Unbound",,,"Nilah, the Joy Unbound","Nilah, the Joy Unbound","Nilah, the Joy Unbound",Beat the Diamonds,"Nilah, the Joy Unbound",Beat the Diamonds,Beat the Diamonds,,,"Nilah, the Joy Unbound",Beat the Diamonds,"Nilah, the Joy Unbound","Nilah, the Joy Unbound","Nilah, the Joy Unbound",Beat the Diamonds,,Beat the Diamonds,,Beat the Diamonds
27,Superior Probe - Underworks - Scenery,World Vanquisher (album extended),31,32,63,1,World Vanquisher (album extended),,,,Superior Probe - Underworks - Scenery,World Vanquisher (album extended),World Vanquisher (album extended),Superior Probe - Underworks - Scenery,,,,,,Superior Probe - Underworks - Scenery,,Superior Probe - Underworks - Scenery,,Superior Probe - Underworks - Scenery,World Vanquisher (album extended),World Vanquisher (album extended),World Vanquisher (album extended),Superior Probe - Underworks - Scenery,Superior Probe - Underworks - Scenery,Superior Probe - Underworks - Scenery,World Vanquisher (album extended),World Vanquisher (album extended),World Vanquisher (album extended),,Superior Probe - Underworks - Scenery,,Superior Probe - Underworks - Scenery,Superior Probe - Underworks - Scenery,World Vanquisher (album extended),World Vanquisher (album extended),Superior Probe - Underworks - Scenery,Superior Probe - Underworks - Scenery,World Vanquisher (album extended),Superior Probe - Underworks - Scenery,World Vanquisher (album extended),World Vanquisher (album extended),Superior Probe - Underworks - Scenery,World Vanquisher (album extended),Superior Probe - Underworks - Scenery,,,,,World Vanquisher (album extended),World Vanquisher (album extended),World Vanquisher (album extended),Superior Probe - Underworks - Scenery,,Superior Probe - Underworks - Scenery,World Vanquisher (album extended),,,,Superior Probe - Underworks - Scenery,World Vanquisher (album extended),Superior Probe - Underworks - Scenery,World Vanquisher (album extended),Superior Probe - Underworks - Scenery,,Superior Probe - Underworks - Scenery,World Vanquisher (album extended),World Vanquisher (album extended),World Vanquisher (album extended),Superior Probe - Underworks - Scenery,World Vanquisher (album extended),Superior Probe - Underworks - Scenery,,,Superior Probe - Underworks - Scenery,World Vanquisher (album extended),Superior Probe - Underworks - Scenery,World Vanquisher (album extended),Superior Probe - Underworks - Scenery,World Vanquisher (album extended),Superior Probe - Underworks - Scenery,,,World Vanquisher (album extended),Superior Probe - Underworks - Scenery,World Vanquisher (album extended),Superior Probe - Underworks - Scenery,World Vanquisher (album extended),Superior Probe - Underworks - Scenery,,World Vanquisher (album extended),,World Vanquisher (album extended)
28,SHININ' QUEEN,Hungary (The Atomic Era),46,18,64,28,SHININ' QUEEN,,SHININ' QUEEN,,SHININ' QUEEN,,Hungary (The Atomic Era),SHININ' QUEEN,,SHININ' QUEEN,,,,SHININ' QUEEN,,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,Hungary (The Atomic Era),Hungary (The Atomic Era),SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,,Hungary (The Atomic Era),,SHININ' QUEEN,,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,Hungary (The Atomic Era),,,,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,Hungary (The Atomic Era),,SHININ' QUEEN,SHININ' QUEEN,Hungary (The Atomic Era),,,SHININ' QUEEN,Hungary (The Atomic Era),SHININ' QUEEN,Hungary (The Atomic Era),Hungary (The Atomic Era),,SHININ' QUEEN,Hungary (The Atomic Era),Hungary (The Atomic Era),SHININ' QUEEN,SHININ' QUEEN,,Hungary (The Atomic Era),,,Hungary (The Atomic Era),SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,Hungary (The Atomic Era),SHININ' QUEEN,Hungary (The Atomic Era),,,Hungary (The Atomic Era),SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,Hungary (The Atomic Era),SHININ' QUEEN,,SHININ' QUEEN,,SHININ' QUEEN
29,J-E-N-O-V-A,Subterranean Sunrise,29,34,63,5,Subterranean Sunrise,,J-E-N-O-V-A,,Subterranean Sunrise,,J-E-N-O-V-A,J-E-N-O-V-A,,Subterranean Sunrise,,,,Subterranean Sunrise,,J-E-N-O-V-A,,J-E-N-O-V-A,J-E-N-O-V-A,Subterranean Sunrise,J-E-N-O-V-A,Subterranean Sunrise,J-E-N-O-V-A,,Subterranean Sunrise,J-E-N-O-V-A,J-E-N-O-V-A,,Subterranean Sunrise,,Subterranean Sunrise,J-E-N-O-V-A,Subterranean Sunrise,J-E-N-O-V-A,J-E-N-O-V-A,Subterranean Sunrise,Subterranean Sunrise,Subterranean Sunrise,Subterranean Sunrise,Subterranean Sunrise,J-E-N-O-V-A,J-E-N-O-V-A,Subterranean Sunrise,J-E-N-O-V-A,,,,Subterranean Sunrise,J-E-N-O-V-A,J-E-N-O-V-A,Subterranean Sunrise,,J-E-N-O-V-A,Subterranean Sunrise,Subterranean Sunrise,,,,Subterranean Sunrise,J-E-N-O-V-A,Subterranean Sunrise,Subterranean Sunrise,,Subterranean Sunrise,Subterranean Sunrise,J-E-N-O-V-A,Subterranean Sunrise,Subterranean Sunrise,,J-E-N-O-V-A,,,J-E-N-O-V-A,Subterranean Sunrise,Subterranean Sunrise,Subterranean Sunrise,J-E-N-O-V-A,Subterranean Sunrise,Subterranean Sunrise,,,J-E-N-O-V-A,Subterranean Sunrise,J-E-N-O-V-A,Subterranean Sunrise,Subterranean Sunrise,J-E-N-O-V-A,,J-E-N-O-V-A,,J-E-N-O-V-A
